instance Boomer-MaxSAT XGBoost-MaxSAT
instance224 0.001 0.002
instance225 0.001 0.003
instance226 0.001 0.005
instance227 0.001 0.002
instance228 0.001 0.002
instance229 0.001 0.004
instance230 0.001 0.003
instance231 0.001 0.003
instance232 0.001 0.008
instance233 0.001 0.004
instance234 0.001 0.005
instance235 0.001 0.003
instance236 0.001 0.003
instance237 0.001 0.004
instance238 0.001 0.002
instance239 0.001 0.002
instance240 0.001 0.002
instance241 0.001 0.002
instance242 0.001 0.004
instance243 0.001 0.006
instance244 0.001 0.002
instance245 0.001 0.003
instance246 0.001 0.005
instance247 0.001 0.007
instance248 0.001 0.005
instance249 0.001 0.003
instance250 0.001 0.004
instance251 0.001 0.006
instance252 0.001 0.004
instance253 0.001 0.004
instance254 0.001 0.003
instance255 0.001 0.005
instance256 0.001 0.006
instance257 0.001 0.003
instance258 0.001 0.003
instance259 0.001 0.004
instance260 0.001 0.006
instance261 0.001 0.003
instance262 0.001 0.004
instance263 0.001 0.003
instance264 0.001 0.003
instance265 0.001 0.003
instance266 0.001 0.006
instance267 0.001 0.004
instance268 0.001 0.005
instance269 0.001 0.006
instance270 0.001 0.002
instance271 0.001 0.004
instance272 0.001 0.003
instance273 0.001 0.002
instance274 0.001 0.002
instance275 0.001 0.003
instance276 0.001 0.002
instance277 0.001 0.003
instance278 0.001 0.002
instance279 0.001 0.003
instance280 0.001 0.003
instance281 0.001 0.004
instance282 0.001 0.002
instance283 0.001 0.004
instance284 0.001 0.003
instance285 0.001 0.004
instance286 0.001 0.002
instance287 0.001 0.002
instance288 0.001 0.005
instance289 0.001 0.003
instance290 0.001 0.004
instance291 0.001 0.004
instance292 0.001 0.003
instance293 0.001 0.003
instance294 0.001 0.004
instance295 0.001 0.003
instance296 0.001 0.005
instance297 0.001 0.005
instance298 0.001 0.002
instance299 0.001 0.004
instance300 0.001 0.003
instance301 0.001 0.003
instance302 0.001 0.004
instance303 0.001 0.002
instance304 0.001 0.003
instance305 0.001 0.003
instance306 0.015 0.061
instance307 0.011 0.106
instance308 0.006 0.08
instance309 0.007 0.072
instance310 0.017 0.071
instance311 0.015 0.083
instance312 0.022 0.06
instance313 0.014 0.076
instance314 0.005 0.067
instance315 0.01 0.087
instance316 0.006 0.083
instance317 0.006 0.099
instance318 0.007 0.078
instance319 0.007 0.081
instance320 0.008 0.088
instance321 0.016 0.09
instance322 0.015 0.071
instance323 0.008 0.09
instance324 0.006 0.081
instance325 0.012 0.078
instance326 0.021 0.068
instance327 0.016 0.071
instance328 0.018 0.068
instance329 0.013 0.069
instance330 0.009 0.081
instance331 0.025 0.073
instance332 0.011 0.095
instance333 0.014 0.069
instance334 0.013 0.084
instance335 0.019 0.09
instance336 0.009 0.066
instance337 0.02 0.08
instance338 0.026 0.07
instance339 0.013 0.112
instance340 0.01 0.095
instance341 0.026 0.07
instance342 0.009 0.083
instance343 0.011 0.091
instance344 0.011 0.091
instance345 0.005 0.1
instance346 0.022 0.084
instance347 0.016 0.1
instance348 0.006 0.061
instance349 0.012 0.083
instance350 0.009 0.084
instance351 0.009 0.09
instance352 0.012 0.1
instance353 0.012 0.074
instance354 0.005 0.083
instance355 0.014 0.083
instance356 0.013 0.09
instance357 0.01 0.083
instance358 0.012 0.087
instance359 0.006 0.079
instance360 0.006 0.069
instance361 0.005 0.075
instance362 0.024 0.091
instance363 0.009 0.109
instance364 0.018 0.082
instance365 0.012 0.106
instance366 0.008 0.066
instance367 0.014 0.068
instance368 0.006 0.069
instance369 0.013 0.075
instance370 0.008 0.099
instance371 0.009 0.095
instance372 0.006 0.113
instance373 0.017 0.071
instance374 0.008 0.072
instance375 0.007 0.107
instance376 0.011 0.075
instance377 0.007 0.101
instance378 0.006 0.118
instance379 0.014 0.1
instance380 0.006 0.088
instance381 0.012 0.095
instance382 0.011 0.089
instance383 0.014 0.09
instance384 0.006 0.095
instance385 0.011 0.075
instance386 0.01 0.07
instance387 0.018 0.071
instance388 0.01 0.105
instance389 0.008 0.066
instance390 0.008 0.087
instance391 0.006 0.098
instance392 0.007 0.102
instance393 0.013 0.084
instance394 0.006 0.099
instance395 0.016 0.093
instance396 0.008 0.128
instance397 0.005 0.091
instance398 0.01 0.125
instance399 0.017 0.107
instance400 0.014 0.08
instance401 0.006 0.086
instance402 0.017 0.086
instance403 0.016 0.117
instance404 0.012 0.119
instance405 0.006 0.109
instance406 0.018 0.106
instance407 0.008 0.105
instance408 0.007 0.097
instance409 0.006 0.158
instance410 0.014 0.111
instance411 0.011 0.129
instance412 0.007 0.103
instance413 0.013 0.111
instance414 0.012 0.062
instance415 0.021 0.08
instance416 0.006 0.098
instance417 0.009 0.123
instance418 0.014 0.084
instance419 0.008 0.112
instance420 0.006 0.088
instance421 0.016 0.142
instance422 0.01 0.092
instance423 0.014 0.095
instance424 0.008 0.108
instance425 0.013 0.1
instance426 0.014 0.084
instance427 0.01 0.088
instance428 0.009 0.092
instance429 0.012 0.098
instance430 0.007 0.111
instance431 0.018 0.082
instance432 0.025 0.101
instance433 0.014 0.089
instance434 0.011 0.078
instance435 0.007 0.096
instance436 0.023 0.079
instance437 0.005 0.09
instance438 0.011 0.077
instance439 0.005 0.099
instance440 0.011 0.107
instance441 0.01 0.088
instance442 0.01 0.101
instance443 0.01 0.085
instance444 0.005 0.125
instance445 0.006 0.145
instance446 0.012 0.08
instance447 0.017 0.074
instance448 0.005 0.085
instance449 0.016 0.099
instance450 0.015 0.109
instance451 0.012 0.104
instance452 0.019 0.104
instance453 0.014 0.113
instance454 0.006 0.11
instance455 0.014 0.103
instance456 0.008 0.089
instance457 0.005 0.086
instance458 0.018 0.102
instance459 0.012 0.09
instance460 0.01 0.081
instance461 0.007 0.102
instance462 0.014 0.097
instance463 0.006 0.117
instance464 0.01 0.107
instance465 0.01 0.091
instance466 0.011 0.13
instance467 0.005 0.113
instance468 0.009 0.097
instance469 0.012 0.109
instance470 0.024 0.105
instance471 0.011 0.098
instance472 0.013 0.104
instance473 0.006 0.089
instance474 0.012 0.123
instance475 0.01 0.101
instance476 0.022 0.087
instance477 0.014 0.099
instance478 0.012 0.084
instance479 0.006 0.139
instance480 0.021 0.124
instance481 0.02 0.137
instance482 0.015 0.094
instance483 0.007 0.112
instance484 0.013 0.108
instance485 0.02 0.116
instance486 0.01 0.118
instance487 0.006 0.11
instance488 0.019 0.102
instance489 0.008 0.1
instance490 0.006 0.113
instance491 0.007 0.103
instance492 0.004 0.083
instance493 0.015 0.111
instance494 0.008 0.126
instance495 0.025 0.078
instance496 0.018 0.081
instance497 0.014 0.096
instance498 0.011 0.105
instance499 0.027 0.077
instance500 0.013 0.107
instance501 0.008 0.098
instance502 0.012 0.098
instance503 0.008 0.099
instance504 0.016 0.101
instance505 0.018 0.091
instance506 0.002 0.006
instance507 0.002 0.003
instance508 0.001 0.004
instance509 0.001 0.004
instance510 0.001 0.004
instance511 0.002 0.005
instance512 0.002 0.006
instance513 0.002 0.006
instance514 0.002 0.007
instance515 0.002 0.004
instance516 0.001 0.004
instance517 0.002 0.004
instance518 0.001 0.004
instance519 0.002 0.004
instance520 0.001 0.003
instance521 0.002 0.004
instance522 0.002 0.008
instance523 0.002 0.006
instance524 0.001 0.004
instance525 0.002 0.003
instance526 0.001 0.007
instance527 0.002 0.004
instance528 0.003 0.006
instance529 0.001 0.005
instance530 0.001 0.004
instance531 0.001 0.004
instance532 0.001 0.003
instance533 0.001 0.003
instance534 0.004 0.007
instance535 0.002 0.005
instance536 0.001 0.003
instance537 0.002 0.003
instance538 0.002 0.004
instance539 0.002 0.003
instance540 0.004 0.003
instance541 0.003 0.004
instance542 0.001 0.003
instance543 0.001 0.006
instance544 0.002 0.008
instance545 0.002 0.004
instance546 0.002 0.004
instance547 0.003 0.003
instance548 0.002 0.003
instance549 0.001 0.004
instance550 0.002 0.003
instance551 0.001 0.003
instance552 0.002 0.004
instance553 0.002 0.003
instance554 0.003 0.003
instance555 0.003 0.003
instance556 0.004 0.006
instance557 0.004 0.006
instance558 0.002 0.006
instance559 0.001 0.006
instance560 0.002 0.004
instance561 0.002 0.004
instance562 0.002 0.004
instance563 0.001 0.004
instance564 0.002 0.007
instance565 0.002 0.004
instance566 0.002 0.006
instance567 0.004 0.004
instance568 0.002 0.004
instance569 0.004 0.003
instance570 0.002 0.004
instance571 0.001 0.008
instance572 0.002 0.006
instance573 0.002 0.003
instance574 0.002 0.005
instance575 0.003 0.008
instance576 0.002 0.004
instance577 0.002 0.005
instance578 0.001 0.004
instance579 0.002 0.004
instance580 0.002 0.004
instance581 0.002 0.004
instance582 0.002 0.004
instance583 0.003 0.003
instance584 0.002 0.003
instance585 0.001 0.003
instance586 0.001 0.003
instance587 0.002 0.003
instance588 0.002 0.003
instance589 0.002 0.007
instance590 0.002 0.003
instance591 0.002 0.003
instance592 0.001 0.003
instance593 0.001 0.007
instance594 0.001 0.004
instance595 0.002 0.004
instance596 0.002 0.004
instance597 0.002 0.004
instance598 0.001 0.006
instance599 0.003 0.005
instance600 0.003 0.003
instance601 0.001 0.003
instance602 0.001 0.003
instance603 0.002 0.003
instance604 0.003 0.003
instance605 0.001 0.003
instance606 0.001 0.004
instance607 0.002 0.006
instance608 0.002 0.004
instance609 0.002 0.004
instance610 0.002 0.007
instance611 0.002 0.004
instance612 0.001 0.003
instance613 0.002 0.003
instance614 0.001 0.004
instance615 0.003 0.002
instance616 0.002 0.003
instance617 0.002 0.003
instance618 0.002 0.003
instance619 0.002 0.003
instance620 0.002 0.003
instance621 0.002 0.005
instance622 0.001 0.003
instance623 0.002 0.003
instance624 0.002 0.003
instance625 0.004 0.006
instance626 0.002 0.003
instance627 0.001 0.003
instance628 0.002 0.004
instance629 0.001 0.003
instance630 0.001 0.004
instance631 0.001 0.004
instance632 0.002 0.003
instance633 0.004 0.003
instance634 0.004 0.002
instance635 0.002 0.003
instance636 0.001 0.002
instance637 0.002 0.003
instance638 0.002 0.003
instance639 0.003 0.003
instance640 0.002 0.004
instance641 0.002 0.004
instance642 0.002 0.006
instance643 0.002 0.004
instance644 0.002 0.004
instance645 0.003 0.004
instance646 0.002 0.003
instance647 0.001 0.004
instance648 0.001 0.003
instance649 0.002 0.008
instance650 0.001 0.002
instance651 0.004 0.003
instance652 0.004 0.004
instance653 0.001 0.004
instance654 0.001 0.008
instance655 0.004 0.004
instance656 0.075 0.063
instance657 0.075 0.034
instance658 0.081 0.056
instance659 0.077 0.037
instance660 0.08 0.041
instance661 0.046 0.032
instance662 0.083 0.055
instance663 0.071 0.036
instance664 0.069 0.032
instance665 0.081 0.067
instance666 0.047 0.026
instance667 0.077 0.038
instance668 0.077 0.043
instance669 0.083 0.07
instance670 0.058 0.034
instance671 0.081 0.063
instance672 0.075 0.065
instance673 0.09 0.037
instance674 0.064 0.043
instance675 0.068 0.035
instance676 0.074 0.081
instance677 0.075 0.059
instance678 0.072 0.05
instance679 0.085 0.04
instance680 0.083 0.037
instance681 0.078 0.029
instance682 0.089 0.061
instance683 0.074 0.045
instance684 0.08 0.059
instance685 0.085 0.037
instance686 0.058 0.058
instance687 0.069 0.046
instance688 0.071 0.04
instance689 0.084 0.043
instance690 0.079 0.04
instance691 0.066 0.054
instance692 0.062 0.062
instance693 0.086 0.064
instance694 0.091 0.085
instance695 0.08 0.037
instance696 0.074 0.041
instance697 0.068 0.034
instance698 0.073 0.033
instance699 0.092 0.064
instance700 0.062 0.031
instance701 0.068 0.044
instance702 0.094 0.034
instance703 0.087 0.042
instance704 0.064 0.044
instance705 0.07 0.057
instance706 0.076 0.04
instance707 0.081 0.037
instance708 0.08 0.06
instance709 0.077 0.063
instance710 0.075 0.038
instance711 0.071 0.056
instance712 0.081 0.036
instance713 0.055 0.039
instance714 0.063 0.037
instance715 0.086 0.037
instance716 0.097 0.037
instance717 0.078 0.036
instance718 0.063 0.028
instance719 0.076 0.039
instance720 0.081 0.043
instance721 0.067 0.036
instance722 0.062 0.036
instance723 0.055 0.028
instance724 0.052 0.039
instance725 0.075 0.031
instance726 0.084 0.068
instance727 0.059 0.036
instance728 0.082 0.037
instance729 0.078 0.032
instance730 0.06 0.053
instance731 0.095 0.065
instance732 0.073 0.033
instance733 0.083 0.025
instance734 0.081 0.08
instance735 0.08 0.041
instance736 0.092 0.038
instance737 0.072 0.081
instance738 0.069 0.036
instance739 0.107 0.041
instance740 0.078 0.039
instance741 0.067 0.035
instance742 0.088 0.038
instance743 0.064 0.047
instance744 0.073 0.063
instance745 0.088 0.038
instance746 0.071 0.044
instance747 0.087 0.039
instance748 0.067 0.061
instance749 0.053 0.021
instance750 0.067 0.063
instance751 0.078 0.068
instance752 0.093 0.031
instance753 0.07 0.03
instance754 0.077 0.037
instance755 0.09 0.062
instance756 0.081 0.033
instance757 0.09 0.038
instance758 0.062 0.038
instance759 0.103 0.045
instance760 0.085 0.038
instance761 0.063 0.031
instance762 0.093 0.069
instance763 0.076 0.033
instance764 0.075 0.038
instance765 0.072 0.037
instance766 0.097 0.041
instance767 0.084 0.035
instance768 0.072 0.066
instance769 0.059 0.026
instance770 0.09 0.06
instance771 0.084 0.065
instance772 0.081 0.065
instance773 0.074 0.064
instance774 0.068 0.071
instance775 0.085 0.066
instance776 0.057 0.057
instance777 0.079 0.066
instance778 0.077 0.077
instance779 0.104 0.035
instance780 0.091 0.04
instance781 0.074 0.037
instance782 0.077 0.065
instance783 0.063 0.037
instance784 0.083 0.042
instance785 0.083 0.065
instance786 0.087 0.038
instance787 0.086 0.045
instance788 0.08 0.035
instance789 0.081 0.074
instance790 0.081 0.038
instance791 0.062 0.028
instance792 0.093 0.035
instance793 0.079 0.043
instance794 0.075 0.063
instance795 0.065 0.053
instance796 0.076 0.067
instance797 0.085 0.037
instance798 0.068 0.044
instance799 0.091 0.042
instance800 0.087 0.038
instance801 0.052 0.03
instance802 0.079 0.04
instance803 0.065 0.041
instance804 0.091 0.065
instance805 0.057 0.04
instance806 0.07 0.04
instance807 0.078 0.04
instance808 0.066 0.043
instance809 0.058 0.031
instance810 0.069 0.037
instance811 0.076 0.082
instance812 0.066 0.038
instance813 0.083 0.062
instance814 0.061 0.045
instance815 0.089 0.025
instance816 0.059 0.071
instance817 0.046 0.024
instance818 0.085 0.039
instance819 0.06 0.031
instance820 0.085 0.042
instance821 0.07 0.035
instance822 0.088 0.038
instance823 0.067 0.036
instance824 0.076 0.042
instance825 0.073 0.055
instance826 0.097 0.069
instance827 0.099 0.067
instance828 0.071 0.031
instance829 0.075 0.038
instance830 0.069 0.043
instance831 0.08 0.072
instance832 0.095 0.068
instance833 0.073 0.056
instance834 0.087 0.048
instance835 0.069 0.038
instance836 0.08 0.039
instance837 0.088 0.038
instance838 0.098 0.067
instance839 0.069 0.042
instance840 0.073 0.034
instance841 0.048 0.021
instance842 0.074 0.037
instance843 0.054 0.039
instance844 0.085 0.037
instance845 0.087 0.035
instance846 0.074 0.031
instance847 0.043 0.023
instance848 0.09 0.044
instance849 0.069 0.075
instance850 0.071 0.041
instance851 0.081 0.043
instance852 0.063 0.085
instance853 0.084 0.049
instance854 0.071 0.036
instance855 0.076 0.065
instance856 0.006 0.04
instance857 0.002 0.033
instance858 0.004 0.041
instance859 0.005 0.167
instance860 0.008 0.033
instance861 0.005 0.038
instance862 0.003 0.05
instance863 0.006 0.028
instance864 0.005 0.034
instance865 0.003 0.029
instance866 0.005 0.046
instance867 0.003 0.05
instance868 0.003 0.032
instance869 0.002 0.031
instance870 0.003 0.038
instance871 0.002 0.033
instance872 0.005 0.042
instance873 0.003 0.049
instance874 0.003 0.048
instance875 0.005 0.045
instance876 0.003 0.037
instance877 0.005 0.034
instance878 0.006 0.043
instance879 0.006 0.039
instance880 0.003 0.048
instance881 0.002 0.035
instance882 0.004 0.036
instance883 0.003 0.054
instance884 0.004 0.036
instance885 0.006 0.041
instance886 0.003 0.04
instance887 0.003 0.043
instance888 0.003 0.044
instance889 0.002 0.048
instance890 0.006 0.042
instance891 0.004 0.032
instance892 0.004 0.045
instance893 0.003 0.032
instance894 0.002 0.036
instance895 0.004 0.042
instance896 0.003 0.065
instance897 0.004 0.031
instance898 0.003 0.044
instance899 0.003 0.043
instance900 0.002 0.04
instance901 0.005 0.033
instance902 0.004 0.038
instance903 0.006 0.043
instance904 0.005 0.057
instance905 0.002 0.041
instance906 0.006 0.043
instance907 0.004 0.038
instance908 0.004 0.046
instance909 0.004 0.045
instance910 0.003 0.04
instance911 0.002 0.044
instance912 0.003 0.042
instance913 0.002 0.053
instance914 0.003 0.043
instance915 0.005 0.039
instance916 0.003 0.029
instance917 0.003 0.051
instance918 0.005 0.045
instance919 0.004 0.038
instance920 0.004 0.03
instance921 0.003 0.05
instance922 0.003 0.03
instance923 0.003 0.046
instance924 0.004 0.044
instance925 0.003 0.054
instance926 0.003 0.054
instance927 0.002 0.037
instance928 0.003 0.03
instance929 0.004 0.036
instance930 0.002 0.035
instance931 0.006 0.035
instance932 0.003 0.032
instance933 0.003 0.046
instance934 0.006 0.036
instance935 0.003 0.049
instance936 0.004 0.058
instance937 0.004 0.056
instance938 0.004 0.037
instance939 0.002 0.031
instance940 0.003 0.052
instance941 0.002 0.048
instance942 0.005 0.038
instance943 0.004 0.05
instance944 0.003 0.064
instance945 0.003 0.04
instance946 0.007 0.052
instance947 0.006 0.043
instance948 0.003 0.052
instance949 0.004 0.038
instance950 0.007 0.041
instance951 0.005 0.035
instance952 0.004 0.044
instance953 0.003 0.038
instance954 0.007 0.043
instance955 0.003 0.035
instance956 0.002 0.061
instance957 0.003 0.033
instance958 0.003 0.057
instance959 0.003 0.038
instance960 0.006 0.044
instance961 0.004 0.039
instance962 0.007 0.058
instance963 0.003 0.059
instance964 0.004 0.056
instance965 0.005 0.045
instance966 0.004 0.057
instance967 0.005 0.034
instance968 0.003 0.045
instance969 0.004 0.047
instance970 0.003 0.047
instance971 0.006 0.047
instance972 0.003 0.049
instance973 0.003 0.049
instance974 0.003 0.052
instance975 0.003 0.044
instance976 0.005 0.041
instance977 0.004 0.043
instance978 0.003 0.046
instance979 0.003 0.04
instance980 0.005 0.058
instance981 0.005 0.05
instance982 0.005 0.05
instance983 0.003 0.042
instance984 0.003 0.046
instance985 0.004 0.044
instance986 0.006 0.05
instance987 0.005 0.053
instance988 0.006 0.043
instance989 0.005 0.038
instance990 0.003 0.046
instance991 0.004 0.051
instance992 0.003 0.044
instance993 0.002 0.038
instance994 0.003 0.036
instance995 0.002 0.046
instance996 0.003 0.045
instance997 0.005 0.047
instance998 0.003 0.036
instance999 0.003 0.046
instance1000 0.003 0.031
instance1001 0.002 0.037
instance1002 0.005 0.068
instance1003 0.003 0.053
instance1004 0.002 0.043
instance1005 0.001 0.026
instance1006 0.004 0.04
instance1007 0.005 0.049
instance1008 0.003 0.058
instance1009 0.003 0.062
instance1010 0.006 0.042
instance1011 0.002 0.029
instance1012 0.002 0.05
instance1013 0.003 0.047
instance1014 0.004 0.036
instance1015 0.004 0.046
instance1016 0.003 0.037
instance1017 0.003 0.03
instance1018 0.004 0.032
instance1019 0.006 0.041
instance1020 0.003 0.037
instance1021 0.004 0.041
instance1022 0.006 0.031
instance1023 0.004 0.044
instance1024 0.005 0.052
instance1025 0.003 0.049
instance1026 0.002 0.018
instance1027 0.001 0.014
instance1028 0.004 0.043
instance1029 0.002 0.008
instance1030 0.009 0.046
instance1031 0.003 0.008
instance1032 0.004 0.043
instance1033 0.003 0.029
instance1034 0.006 0.047
instance1035 0.001 0.027
instance1036 0.003 0.054
instance1037 0.005 0.048
instance1038 0.006 0.035
instance1039 0.002 0.009
instance1040 0.004 0.045
instance1041 0.004 0.012
instance1042 0.004 0.009
instance1043 0.001 0.008
instance1044 0.003 0.066
instance1045 0.003 0.05
instance1046 0.002 0.008
instance1047 0.002 0.008
instance1048 0.004 0.031
instance1049 0.005 0.034
instance1050 0.007 0.058
instance1051 0.004 0.061
instance1052 0.004 0.009
instance1053 0.006 0.052
instance1054 0.008 0.061
instance1055 0.003 0.065
instance1056 0.002 0.007
instance1057 0.002 0.009
instance1058 0.005 0.057
instance1059 0.002 0.035
instance1060 0.007 0.056
instance1061 0.003 0.039
instance1062 0.005 0.051
instance1063 0.004 0.071
instance1064 0.009 0.068
instance1065 0.003 0.01
instance1066 0.004 0.047
instance1067 0.005 0.034
instance1068 0.005 0.065
instance1069 0.003 0.009
instance1070 0.007 0.049
instance1071 0.002 0.069
instance1072 0.009 0.066
instance1073 0.004 0.054
instance1074 0.003 0.023
instance1075 0.003 0.049
instance1076 0.003 0.046
instance1077 0.003 0.009
instance1078 0.005 0.008
instance1079 0.007 0.051
instance1080 0.003 0.054
instance1081 0.001 0.033
instance1082 0.003 0.03
instance1083 0.002 0.034
instance1084 0.004 0.052
instance1085 0.008 0.036
instance1086 0.01 0.062
instance1087 0.004 0.045
instance1088 0.006 0.05
instance1089 0.007 0.051
instance1090 0.004 0.05
instance1091 0.002 0.034
instance1092 0.003 0.055
instance1093 0.005 0.041
instance1094 0.007 0.057
instance1095 0.007 0.043
instance1096 0.004 0.045
instance1097 0.004 0.04
instance1098 0.008 0.058
instance1099 0.001 0.01
instance1100 0.002 0.009
instance1101 0.004 0.06
instance1102 0.01 0.06
instance1103 0.009 0.07
instance1104 0.004 0.051
instance1105 0.006 0.012
instance1106 0.005 0.008
instance1107 0.007 0.063
instance1108 0.005 0.05
instance1109 0.004 0.05
instance1110 0.003 0.077
instance1111 0.002 0.009
instance1112 0.005 0.046
instance1113 0.003 0.044
instance1114 0.005 0.051
instance1115 0.003 0.068
instance1116 0.005 0.053
instance1117 0.004 0.053
instance1118 0.002 0.024
instance1119 0.006 0.065
instance1120 0.003 0.007
instance1121 0.001 0.008
instance1122 0.002 0.008
instance1123 0.008 0.071
instance1124 0.003 0.036
instance1125 0.001 0.007
instance1126 0.006 0.034
instance1127 0.007 0.083
instance1128 0.004 0.047
instance1129 0.002 0.011
instance1130 0.004 0.031
instance1131 0.005 0.077
instance1132 0.006 0.066
instance1133 0.003 0.031
instance1134 0.007 0.047
instance1135 0.008 0.052
instance1136 0.002 0.007
instance1137 0.005 0.037
instance1138 0.002 0.006
instance1139 0.005 0.042
instance1140 0.005 0.054
instance1141 0.004 0.065
instance1142 0.005 0.048
instance1143 0.003 0.054
instance1144 0.005 0.061
instance1145 0.001 0.011
instance1146 0.005 0.028
instance1147 0.004 0.054
instance1148 0.003 0.065
